type,ip,userAgent,time,path,headers,geo,abuse,sessionID,id
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:14:04.214Z,/admin,[object Object],[object Object],,IQC16sMFe-oQBKyKQgOHCSKES9Y1INRu,6130765c-4032-45e3-8f8a-8bc3d51b416c
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:14:10.623Z,/admin,[object Object],[object Object],,IQC16sMFe-oQBKyKQgOHCSKES9Y1INRu,40fc2566-050b-40d6-9035-f2a31bf52c4e
alert_error,,,2025-04-16T18:14:11.569Z,,,,,,2918d53a-5d00-4bf4-b53f-4ec4ebaeabde
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:17.623Z,/backup.zip,,,,,56b7b1b5-12f1-47ba-8b8c-f87b5a690e61
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:25.148Z,/db,,,,,568f5483-67cc-4f76-815f-612977a62dad
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:25.295Z,/db,,,,,b2e28cdf-6952-4f66-8fcd-84fdac04851f
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:25.350Z,/db,,,,,25797c80-5f38-4980-a380-f5f7596cae62
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:39.378Z,/config,,,,,30975294-6c7c-4adc-b0df-0bc7b5a94be3
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:39.513Z,/config,,,,,410953e0-67c3-42db-a3a2-4afec72a76c6
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:39.539Z,/config,,,,,2350aa3f-ea54-48ef-a5db-37fdb1b289e7
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:51.208Z,/admin,[object Object],[object Object],,vGLeTXlCtGOXMyM7xYBuB9kQPdq8pDB7,a30b7053-ff52-4a22-8963-aabf9b63b0d8
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:15:55.748Z,/admin,[object Object],[object Object],,vGLeTXlCtGOXMyM7xYBuB9kQPdq8pDB7,17c68fca-1871-4bed-a624-8dae6fe835aa
alert_error,,,2025-04-16T18:15:56.473Z,,,,,,c4231741-911b-41fe-a8c2-a8f3d2206618
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:29:11.268Z,/admin,[object Object],[object Object],,YUpC2L_ABxH1qDtwS-IDhwyy4heztvrx,826c0281-df36-485b-a245-5bb1546beebd
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:29:21.466Z,/admin,[object Object],[object Object],,YUpC2L_ABxH1qDtwS-IDhwyy4heztvrx,ea2caa59-a294-49d2-b245-c49ff9340fcc
alert_error,,,2025-04-16T18:29:22.170Z,,,,,,89f254a3-4c2d-460b-8816-2bb7ac3ff065
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:30:29.284Z,/admin,[object Object],[object Object],,YUpC2L_ABxH1qDtwS-IDhwyy4heztvrx,13a31e1e-2c4b-487b-977d-73faefb260e9
alert_error,,,2025-04-16T18:30:29.975Z,,,,,,19f79d63-596f-4deb-a772-f6a250f94e9e
file_upload,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:34:09.138Z,/upload,,,,,4f7f44d4-f92f-418b-963f-8a0a2c8c421f
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:34:27.982Z,/shell,,,,,63cc458c-1b62-41fd-8bc6-f4767936cd13
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:34:38.228Z,/shell?output=bash%3A%20ls%3A%20command%20not%20found,,,,,8c65fb48-c22c-4cbb-a77e-1dbca6daaaa9
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:34:44.512Z,/shell?output=bash%3A%20ps%3A%20command%20not%20found,,,,,ce80d78b-d799-4f2e-a198-d804cd602f65
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:34:46.466Z,/shell?output=bash%3A%20neofetch%3A%20command%20not%20found,,,,,36804079-66a4-466a-a079-659d8f1a8a2c
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-16T18:40:33.042Z,/shell?output=bash%3A%20su%20-%3A%20command%20not%20found,,,,,f8096493-7093-42ca-a8a1-09ad8ad1d54d
